state,state_name,unemprate_1990,unemprate_1991,unemprate_1992,unemprate_1993,unemprate_1994,unemprate_1995,unemprate_1996,unemp_female_1990,unemp_female_1991,unemp_female_1992,unemp_female_1993,unemp_female_1994,unemp_female_1995,unemp_female_1996,unemp_male_1990,unemp_male_1991,unemp_male_1992,unemp_male_1993,unemp_male_1994,unemp_male_1995,unemp_male_1996
1,Schleswig-Holstein,.,7.3,7.2,8.3,9,9.1,10,.,35263,35077,40071,43185,43424,46666,.,45261,45660,53381,59102,58769,66417
2,Hamburg,.,8.7,7.9,8.6,9.8,10.7,11.7,.,25531,22937,24643,27413,30378,32985,.,37482,34504,38286,43791,47395,50957
3,Niedersachsen,.,8.1,8.1,9.7,10.7,10.9,12.1,.,118794,119173,140521,152074,154722,166828,.,125489,130619,166327,188748,192226,219416
4,Bremen,.,10.7,10.7,12.4,13.7,14,15.6,.,13666,13276,14658,15959,16093,17493,.,17963,18256,21980,24196,24250,26881
5,Nordrhein-Westfalen,.,7.9,8,9.6,10.7,10.6,11.4,.,260592,260517,299450,323356,322910,340489,.,300739,319956,403748,461154,456036,486470
6,Hessen,.,5.1,5.5,7,8.2,8.4,9.3,.,60953,64495,78774,89819,91277,98446,.,62311,72330,98287,118856,121945,135637
7,Rheinland-Pfalz,.,5.4,5.7,7.5,8.4,8.5,9.4,.,40364,41835,51810,57343,57775,62720,.,41970,47150,65893,75533,76448,87062
8,Baden-Württemberg,.,3.7,4.4,6.3,7.5,7.4,8,.,80344,91394,124713,144885,145521,155019,.,78974,100576,156783,188531,182777,198900
9,Bayern,.,4.4,4.9,6.4,7.1,7,7.9,.,103711,116405,150605,167395,163111,177043,.,111069,126819,172062,193467,192770,224948
10,Saarland,.,8.6,9,11.2,12.1,11.7,12.4,.,14273,14832,17379,18557,18309,19342,.,21708,23462,30095,32913,30948,32723
11,Berlin,.,10.6,12.4,12.8,13.2,13.6,15.2,.,83682,98650,95936,97825,97351,106131,.,106131,108408,107988,112305,116032,129868
12,Brandenburg,.,10.3,14.8,15.3,15.3,14.2,16.2,.,79422,113817,116598,117108,105290,108885,.,61750,68525,63820,61734,59318,78166
13,Mecklenburg-Vorpommern,.,12.5,16.8,17.5,17,16.1,18,.,68739,95326,90741,88973,81283,83332,.,59564,67837,61255,54627,51567,64454
14,Sachsen,.,9.1,13.6,14.9,15.7,14.4,15.9,.,148014,210408,211883,221295,195841,194090,.,93213,106104,103781,102075,97858,128232
15,Sachsen-Anhalt,.,10.3,15.3,17.2,17.6,16.5,18.8,.,96228,140981,143177,144223,128141,133759,.,70899,76493,81558,81212,80008,100692
16,Thüringen,.,10.2,15.4,16.3,16.5,15,16.7,.,92072,127553,126624,125562,109887,110290,.,55891,65195,66315,64843,62262,80723
